"Num","Title","Slug","Got","Need"
"116","Ice Cream Production","ice-cream-production","0","12"
"117","Yogurt Production","yogurt-production","0","12"
"118","Cement &amp; Blocks","cement-amp-blocks","0","12"
"119","Roofing Sheets","roofing-sheets","0","12"
"120","Tiles &amp; Ceramics","tiles-amp-ceramics","0","12"
"121","PVC &amp; Plumbing Pipes","pvc-amp-plumbing-pipes","0","12"
"122","Steel Fabrication","steel-fabrication","0","12"
"123","Aluminum Windows &amp; Doors","aluminum-windows-amp-doors","0","12"
"124","Glass Processing","glass-processing","0","12"
"125","Furniture Manufacturing","furniture-manufacturing","0","12"
"126","Solar Panel Assembly","solar-panel-assembly","0","12"
"127","Solar Inverters &amp; Batteries","solar-inverters-amp-batteries","0","12"
"128","Briquettes &amp; Pellets","briquettes-amp-pellets","0","12"
"129","Biogas Systems","biogas-systems","0","12"
"130","Auto Parts &amp; Assembly","auto-parts-amp-assembly","0","12"
"131","EV Motorbike Assembly","ev-motorbike-assembly","0","12"
"132","Electronics Assembly","electronics-assembly","0","12"
"133","Packaging Materials","packaging-materials","0","12"
"134","Detergents Manufacturing","detergents-manufacturing","0","12"
"135","Pharmaceuticals","pharmaceuticals","0","12"
"136","Sanitary Pads","sanitary-pads","0","12"
"137","Tissues &amp; Paper Products","tissues-amp-paper-products","0","12"
"138","Fertilizer Blending","fertilizer-blending","0","12"
"139","Pesticides &amp; Agrochemicals","pesticides-amp-agrochemicals","0","12"
