"Num","Title","Slug","Type","Bytes","Lessons","Status","Issues"
"165","Snail Farming (Heliciculture) Business","snail-farming","DB","118409","7","OK",""
"166","Seedling Nursery for Farmers","seedling-nursery-farmers","DB","121411","7","OK",""
"164","Fortified Corn-Soy Porridge for Malnourished Children","fortified-corn-soy-porridge","DB","343824","230","OK",""
"1","Pig Farming","pig-farming","DB","89150","72","ISSUES","DUP-LESSONS(29%)"
"2","Pig Feed Formulation","pig-feed-formulation","DB","350155","72","OK",""
"3","Cattle and Steer Feed Formulation","cattle-steer-feed-formulation","DB","187571","72","OK",""
"4","Broiler and Layer Feed Formulation","broiler-layer-feed-formulation","DB","185326","72","OK",""
"5","Dog and Cat Feed Formulation","dog-cat-feed-formulation","DB","181864","72","OK",""
"6","Fish Feed Formulation","fish-feed-formulation","DB","299423","66","OK",""
"7","Bakery Business","bakery-business","DB","340713","72","OK",""
"8","Butchery","butchery","DB","90295","72","OK",""
"9","Steer Fattening","steer-fattening","DB","91651","72","ISSUES","DUP-LESSONS(32%)"
"10","Bee Farming and Honey Production","bee-farming-honey-production","DB","171318","72","OK",""
"11","Mushroom Farming","mushroom-farming","DB","92716","72","OK",""
"12","Cassava Farming and Processing","cassava-farming-processing","DB","177516","72","OK",""
"13","Dairy Production","dairy-production","DB","91582","72","OK",""
"14","Cattle Farming","cattle-farming","DB","87753","72","OK",""
"15","Leather Making and Tanning","leather-making-tanning","DB","176205","72","OK",""
"16","Jam Making","jam-making","DB","90546","72","OK",""
"17","Spices Course","spices-course","DB","335097","72","OK",""
"18","Soap Making","soap-making","DB","70881","3","OK",""
"19","Charcoal Types Course","charcoal-types-course","DB","343981","72","OK",""
"20","Meat Curing &amp; Charcuterie","meat-curing-amp-charcuterie","DB","330301","72","OK",""
"21","Aged Beef – 21 to 101 Day","aged-beef-21-to-101-day","DB","322292","66","OK",""
"22","Broiler Farming","broiler-farming","DB","64247","2","OK",""
"23","Layer Farming","layer-farming","DB","68483","2","OK",""
"24","Food Preservation (10 Methods)","food-preservation-10-methods","DB","340932","72","OK",""
"25","Goat Farming","goat-farming","DB","128336","12","OK",""
"26","Solar Installation in the Community","solar-installation-in-the-community","DB","344652","72","OK",""
"27","Russian Language","russian-language","DB","59008","39","OK",""
"28","Chinese / Mandarin","chinese-language","DB","60362","39","OK",""
"29","Arabic Language","arabic-language","DB","61539","39","OK",""
"30","Swahili Language","swahili-language","DB","58677","39","OK",""
"44","Spanish Language","spanish-language","DB","322492","72","OK",""
"31","Shona Language","shona-language","DB","272893","60","OK",""
"32","Entrepreneurship","entrepreneurship","DB","95428","72","OK",""
"33","Fish Farming","fish-farming","DB","333706","72","OK",""
"34","Fish Fingerling Production","fish-fingerling-production","DB","94356","72","ISSUES","DUP-LESSONS(29%)"
"35","Horse Breeding","horse-breeding","DB","172231","17","OK",""
"36","Tomato Farming","tomato-farming","DB","89518","1","OK",""
"37","Potato Farming","potato-farming","DB","96306","1","OK",""
"38","Onion Farming","onion-farming","DB","94393","1","OK",""
"39","Cabbage Farming","cabbage-farming","DB","89578","72","OK",""
"40","Rabbit Farming","rabbit-farming","DB","90670","72","ISSUES","DUP-LESSONS(28%)"
"41","Sheep Farming","sheep-farming","DB","154959","15","OK",""
"42","Street Food / Take Away","street-food-take-away","DB","320308","72","OK",""
"43","Fruit Juice Making","fruit-juice-making","DB","328263","72","OK",""
"45","Solar Pump for Dam","solar-pump-for-dam","DB","310739","66","OK",""
"46","Packaging for Export Markets","packaging-for-export-markets","DB","326420","66","OK",""
"47","International Trade Basics","international-trade-basics","DB","150977","69","ISSUES","DUP-LESSONS(80%)"
"48","Irrigation Systems for Smallholds","irrigation-systems-for-smallholds","DB","332240","72","OK",""
"49","Export Standards &amp; Certification","export-standards-amp-certification","DB","349480","72","OK",""
"50","Farm Market Access &amp; Pricing","farm-market-access-amp-pricing","DB","343421","72","OK",""
"51","Business Plan Development","business-plan-development","DB","96424","72","OK",""
"52","Agricultural Cooperative Formation","agricultural-cooperative-formation","DB","94961","72","ISSUES","DUP-LESSONS(32%)"
"53","Cassava Starch Extraction","cassava-starch-extraction","DB","153500","69","ISSUES","DUP-LESSONS(80%)"
"54","Cassava Bread &amp; Baking","cassava-bread-amp-baking","DB","319032","72","OK",""
"55","AI Fundamentals","ai-fundamentals","DB","169330","76","OK",""
"56","Robotics","robotics","DB","331094","72","OK",""
"57","Drone Technology","drone-technology","DB","329685","72","OK",""
"58","Supply Chain Management","supply-chain-management","DB","330745","66","OK",""
"59","Avocado Farming","avocado-farming","DB","146135","24","OK",""
"60","Banana Farming","banana-farming","DB","146468","28","OK",""
"61","Crocodile Farming","crocodile-farming","DB","51425","3","OK",""
"62","Duck Farming","duck-farming","DB","50868","3","OK",""
"63","Guinea Fowl &amp; Quail Farming","guinea-fowl-amp-quail-farming","DB","323615","72","OK",""
"64","Grafting, Budding &amp; Orchards","grafting-budding-amp-orchards","DB","336863","72","OK",""
"65","Grasscutter Farming","grasscutter-farming","DB","51701","3","OK",""
"66","Citrus Farming","citrus-farming","DB","62024","2","OK",""
"67","Tropical Fruit Farming","tropical-fruit-farming","DB","96708","72","OK",""
"68","Ostrich Farming","ostrich-farming","DB","51325","3","OK",""
"69","Sorghum &amp; Millet Farming","sorghum-amp-millet-farming","DB","91390","72","OK",""
"70","Soybean Farming","soybean-farming","DB","210177","131","OK",""
"71","Sunflower Farming","sunflower-farming","DB","347133","72","OK",""
"72","Silage &amp; Hay Making","silage-amp-hay-making","DB","312742","66","OK",""
"73","Sweet Potato Farming","sweet-potato-farming","DB","239416","141","OK",""
"74","Turkey Farming","turkey-farming","DB","50981","3","OK",""
"75","Yam Farming","yam-farming","DB","223401","137","OK",""
"76","Wheat &amp; Barley Farming","wheat-amp-barley-farming","DB","333269","72","OK",""
"77","Agricultural Record Keeping","agricultural-record-keeping","DB","89200","72","OK",""
"78","Project Management","project-management","DB","92594","72","OK",""
"79","Farm Labor Management","farm-labor-management","DB","94443","72","OK",""
"80","Tomato Paste &amp; Sauce","tomato-paste-amp-sauce","DB","333968","72","OK",""
"81","Medicinal &amp; Herbal Plant Cultivation","medicinal-amp-herbal-plant-cultivation","DB","330395","72","OK",""
"82","Herbal Medicine &amp; Nutraceuticals","herbal-medicine-amp-nutraceuticals","DB","280106","60","OK",""
"83","Cold Storage","cold-storage","DB","351686","72","OK",""
"84","Black Soldier Fly Larvae Farming","black-soldier-fly-larvae-farming","DB","308638","66","OK",""
"85","Brewery: Wine, Gin, Cider &amp; Beer","brewery-wine-gin-cider-amp-beer","DB","326431","72","OK",""
"86","Car Breakers &amp; Metal Scrapyard","car-breakers-amp-metal-scrapyard","DB","310745","66","OK",""
"87","Moringa Powder &amp; Supplements","moringa-powder-amp-supplements","DB","342297","72","OK",""
"88","Baobab Powder Products","baobab-powder-products","DB","336551","72","OK",""
"89","Hibiscus (Zobo/Sobolo) Drink Concentrate","hibiscus-zobo-sobolo-drink-concentrate","DB","334775","72","OK",""
"90","Ginger &amp; Turmeric Shots &amp; Teas","ginger-amp-turmeric-shots-amp-teas","DB","307326","66","OK",""
"91","Herbal Teas &amp; Infusions","herbal-teas-amp-infusions","DB","336256","67","OK",""
"92","Organic Fertilizer &amp; Compost","organic-fertilizer-amp-compost","DB","340344","72","OK",""
"93","Perfume Oils &amp; Incense","perfume-oils-amp-incense","DB","331871","72","OK",""
"94","Coconut Oil &amp; Shea Oil","coconut-oil-amp-shea-oil","DB","330576","72","OK",""
"95","Essential Oils (Lemongrass, Eucalyptus, Tea Tree)","essential-oils-lemongrass-eucalyptus-tea-tree","DB","334052","72","OK",""
"96","Cosmetics: Lip Balms, Body Butters &amp; Hair Oils","cosmetics-lip-balms-body-butters-amp-hair-oils","DB","325604","72","OK",""
"97","African Black Soap &amp; Skincare","african-black-soap-amp-skincare","DB","329256","72","OK",""
"98","Hair Care for Natural Hair","hair-care-for-natural-hair","DB","306824","66","OK",""
"99","Dried Fruit &amp; Vegetable Processing","dried-fruit-amp-vegetable-processing","DB","290025","66","OK",""
"100","Fruit Juice &amp; Concentrates","fruit-juice-amp-concentrates","DB","332075","72","OK",""
"101","Honey Processing &amp; Packaging","honey-processing-amp-packaging","DB","332553","72","OK",""
"102","Spice Blending &amp; Packaging","spice-blending-amp-packaging","DB","305687","66","OK",""
"103","Peanut Butter &amp; Nut Pastes","peanut-butter-amp-nut-pastes","DB","335013","72","OK",""
"104","Paint Manufacturing","paint-manufacturing","DB","344945","72","OK",""
"105","Brick &amp; Paver Making","brick-amp-paver-making","DB","324457","72","OK",""
"106","Fish Processing (Smoking &amp; Canning)","fish-processing-smoking-amp-canning","DB","332138","72","OK",""
"107","Bottled Water Production","bottled-water-production","DB","339345","72","OK",""
"108","Soft Drinks Production","soft-drinks-production","DB","340203","72","OK",""
"109","Distillery &amp; Spirits","distillery-amp-spirits","DB","275076","60","OK",""
"110","Breakfast Cereals","breakfast-cereals","DB","329735","72","OK",""
"111","Cooking Oil Production","cooking-oil-production","DB","318857","66","OK",""
"112","Sugar Processing","sugar-processing","DB","295803","66","OK",""
"113","Rice Milling","rice-milling","DB","316214","72","OK",""
"114","Flour Milling","flour-milling","DB","331162","72","OK",""
"115","Chocolate &amp; Candy","chocolate-amp-candy","DB","326858","72","OK",""
"116","Ice Cream Production","ice-cream-production","DB","330239","72","OK",""
"117","Yogurt Production","yogurt-production","DB","343887","72","OK",""
"118","Cement &amp; Blocks","cement-amp-blocks","DB","324693","66","OK",""
"119","Roofing Sheets","roofing-sheets","DB","327556","72","OK",""
"120","Tiles &amp; Ceramics","tiles-amp-ceramics","DB","327947","72","OK",""
"121","PVC &amp; Plumbing Pipes","pvc-amp-plumbing-pipes","DB","338643","72","OK",""
"122","Steel Fabrication","steel-fabrication","DB","316263","72","OK",""
"123","Aluminum Windows &amp; Doors","aluminum-windows-amp-doors","DB","326736","72","OK",""
"124","Glass Processing","glass-processing","DB","316312","67","OK",""
"125","Furniture Manufacturing","furniture-manufacturing","DB","329588","72","OK",""
"126","Solar Panel Assembly","solar-panel-assembly","DB","333100","72","OK",""
"127","Solar Inverters &amp; Batteries","solar-inverters-amp-batteries","DB","332658","72","OK",""
"128","Briquettes &amp; Pellets","briquettes-amp-pellets","DB","346099","72","OK",""
"129","Biogas Systems","biogas-systems","DB","355663","72","OK",""
"130","Auto Parts &amp; Assembly","auto-parts-amp-assembly","DB","316059","66","OK",""
"131","EV Motorbike Assembly","ev-motorbike-assembly","DB","291231","66","OK",""
"132","Electronics Assembly","electronics-assembly","DB","337053","72","OK",""
"133","Packaging Materials","packaging-materials","DB","306595","66","OK",""
"134","Detergents Manufacturing","detergents-manufacturing","DB","344891","72","OK",""
"135","Pharmaceuticals","pharmaceuticals","DB","348586","72","OK",""
"136","Sanitary Pads","sanitary-pads","DB","345791","72","OK",""
"137","Tissues &amp; Paper Products","tissues-amp-paper-products","DB","335222","72","OK",""
"138","Fertilizer Blending","fertilizer-blending","DB","327372","72","OK",""
"139","Pesticides &amp; Agrochemicals","pesticides-amp-agrochemicals","DB","335699","72","OK",""
"172","Farm Building Construction","farm-building-construction","DB","94591","72","OK",""
"173","Welding Fundamentals","welding-fundamentals","DB","339108","228","OK",""
"174","Processing a Pig Fully","pork-processing-full","FILE","23955","72","OK",""
"178","Buildings for Preservation (10 Methods)","buildings-for-preservation-10-methods-","FILE","314475","72","OK",""
"182","Pizza Oven Construction (Wood-Fired 12 Pizza)","pizza-oven-construction-wood-fired-12-pizza","FILE","275384","66","OK",""
"183","Aluminium Welding Fundamentals","aluminium-welding-fundamentals","FILE","320866","72","OK",""
"203","African Street Food Business","african-street-food","FILE","284733","72","OK",""
"202","Daily Pig Sales: Batch Farrowing","daily-pig-sales","FILE","312693","72","OK",""
"201","Gold Smelting and Refining","gold-smelting-refining","FILE","134938","72","OK",""
"200","Artisan Gold Mining","artisan-gold-mining","FILE","147499","72","OK",""
"199","Daily Bread Sales: Bakery Production","daily-bread-sales","FILE","141747","72","OK",""
"198","Daily Milk Sales: Dairy Herd System","daily-milk-sales","FILE","139415","72","OK",""
"197","Daily Egg Sales: Layer Flock System","daily-egg-sales","FILE","140122","72","OK",""
"196","Daily Broiler Sales: Batch Production","daily-broiler-sales","FILE","140764","72","OK",""
"195","Metal Furniture Making","metal-furniture-making","FILE","140232","72","OK",""
"194","Riveting and Fastener Work","rivet-and-fastener-work","FILE","139102","72","OK",""
"193","Advanced Welding Techniques","advanced-welding","FILE","146597","72","OK",""
"192","Metal Sculpture","metal-sculpture","FILE","309841","72","OK",""
"191","Gate and Fence Making","gate-and-fence-making","FILE","303977","72","OK",""
"190","Tool Making for Agriculture","tool-making-for-agriculture","FILE","291112","72","OK",""
"189","Metal Casting and Foundry Work","metal-casting-foundry","FILE","142301","72","OK",""
"188","Ornamental Ironwork","ornamental-ironwork","FILE","137112","72","OK",""
"187","Bladesmithing","bladesmithing","FILE","270440","66","OK",""
"186","Sheet Metal Work","sheet-metal-work","FILE","274419","66","OK",""
"185","Small Machines &amp; Pharmaceuticals Import","small-machines-pharmaceuticals-import","FILE","312070","72","OK",""
"184","Small Chinese Machines","small-chinese-machines","FILE","312308","72","OK",""
"181","Cold Room for 4-10 Beasts","cold-room-for-410-beasts","FILE","300671","72","OK",""
"180","Beehive Construction","beehive-construction","FILE","292440","72","OK",""
"179","Fish Pond Construction","fish-pond-construction","FILE","297762","72","OK",""
"177","Basic Blacksmithing","basic-blacksmithing","FILE","304484","72","OK",""
"176","Smelting Fundamentals","smelting-fundamentals","FILE","307202","72","OK",""
"175","Wind Turbine Basics","wind-turbine-basics","FILE","309278","72","OK",""
