"Num","Title","Slug","ModulesFound"
"5","Dog and Cat Feed Formulation","dog-and-cat-feed-formulation","0"
"6","Fish Feed Formulation","fish-feed-formulation","0"
"7","Bakery Business","bakery-business","0"
"9","Steer Fattening","steer-fattening","1"
"10","Bee Farming and Honey Production","bee-farming-and-honey-production","0"
"11","Mushroom Farming","mushroom-farming","1"
"12","Cassava Farming and Processing","cassava-farming-and-processing","0"
"15","Leather Making and Tanning","leather-making-and-tanning","0"
"16","Jam Making","jam-making","0"
"17","Spices Course","spices-course","0"
"18","Soap Making","soap-making","1"
"19","Charcoal Types Course","charcoal-types-course","0"
"20","Meat Curing &amp; Charcuterie","meat-curing-amp-charcuterie","0"
"21","Aged Beef – 21 to 101 Day","aged-beef-21-to-101-day","0"
"22","Broiler Farming","broiler-farming","6"
"23","Layer Farming","layer-farming","1"
"24","Food Preservation (10 Methods)","food-preservation-10-methods","0"
"26","Solar Installation in the Community","solar-installation-in-the-community","0"
"27","Russian Language","russian-language","1"
"28","Chinese / Mandarin","chinese-mandarin","0"
"29","Arabic Language","arabic-language","0"
"30","Swahili Language","swahili-language","0"
"44","Spanish Language","spanish-language","0"
"31","Shona Language","shona-language","0"
"32","Entrepreneurship","entrepreneurship","6"
"33","Fish Farming","fish-farming","0"
"34","Fish Fingerling Production","fish-fingerling-production","6"
"35","Horse Breeding","horse-breeding","1"
"36","Tomato Farming","tomato-farming","6"
"37","Potato Farming","potato-farming","1"
"38","Onion Farming","onion-farming","1"
"39","Cabbage Farming","cabbage-farming","6"
"40","Rabbit Farming","rabbit-farming","1"
"41","Sheep Farming","sheep-farming","1"
"42","Street Food / Take Away","street-food-take-away","0"
"43","Fruit Juice Making","fruit-juice-making","0"
"45","Solar Pump for Dam","solar-pump-for-dam","0"
"46","Packaging for Export Markets","packaging-for-export-markets","0"
"47","International Trade Basics","international-trade-basics","1"
"48","Irrigation Systems for Smallholds","irrigation-systems-for-smallholds","0"
"49","Export Standards &amp; Certification","export-standards-amp-certification","0"
"50","Farm Market Access &amp; Pricing","farm-market-access-amp-pricing","0"
"51","Business Plan Development","business-plan-development","6"
"52","Agricultural Cooperative Formation","agricultural-cooperative-formation","6"
"53","Cassava Starch Extraction","cassava-starch-extraction","6"
"54","Cassava Bread &amp; Baking","cassava-bread-amp-baking","0"
"55","AI Fundamentals","ai-fundamentals","6"
"56","Robotics","robotics","0"
"57","Drone Technology","drone-technology","0"
"58","Supply Chain Management","supply-chain-management","0"
"59","Avocado Farming","avocado-farming","6"
"60","Banana Farming","banana-farming","6"
"61","Crocodile Farming","crocodile-farming","6"
"62","Duck Farming","duck-farming","6"
"63","Guinea Fowl &amp; Quail Farming","guinea-fowl-amp-quail-farming","0"
"64","Grafting, Budding &amp; Orchards","grafting-budding-amp-orchards","0"
"65","Grasscutter Farming","grasscutter-farming","6"
"66","Citrus Farming","citrus-farming","6"
"67","Tropical Fruit Farming","tropical-fruit-farming","0"
"68","Ostrich Farming","ostrich-farming","1"
"69","Sorghum &amp; Millet Farming","sorghum-amp-millet-farming","0"
"70","Soybean Farming","soybean-farming","1"
"71","Sunflower Farming","sunflower-farming","0"
"72","Silage &amp; Hay Making","silage-amp-hay-making","0"
"73","Sweet Potato Farming","sweet-potato-farming","3"
"74","Turkey Farming","turkey-farming","1"
"75","Yam Farming","yam-farming","1"
"76","Wheat &amp; Barley Farming","wheat-amp-barley-farming","0"
"77","Agricultural Record Keeping","agricultural-record-keeping","6"
"78","Project Management","project-management","1"
"79","Farm Labor Management","farm-labor-management","6"
"80","Tomato Paste &amp; Sauce","tomato-paste-amp-sauce","0"
"81","Medicinal &amp; Herbal Plant Cultivation","medicinal-amp-herbal-plant-cultivation","0"
"82","Herbal Medicine &amp; Nutraceuticals","herbal-medicine-amp-nutraceuticals","0"
"83","Cold Storage","cold-storage","0"
"84","Black Soldier Fly Larvae Farming","black-soldier-fly-larvae-farming","0"
"85","Brewery: Wine, Gin, Cider &amp; Beer","brewery-wine-gin-cider-amp-beer","0"
"86","Car Breakers &amp; Metal Scrapyard","car-breakers-amp-metal-scrapyard","0"
"87","Moringa Powder &amp; Supplements","moringa-powder-amp-supplements","0"
"88","Baobab Powder Products","baobab-powder-products","0"
"89","Hibiscus (Zobo/Sobolo) Drink Concentrate","hibiscus-zobo-sobolo-drink-concentrate","0"
"90","Ginger &amp; Turmeric Shots &amp; Teas","ginger-amp-turmeric-shots-amp-teas","0"
"91","Herbal Teas &amp; Infusions","herbal-teas-amp-infusions","0"
"92","Organic Fertilizer &amp; Compost","organic-fertilizer-amp-compost","0"
"93","Perfume Oils &amp; Incense","perfume-oils-amp-incense","0"
"94","Coconut Oil &amp; Shea Oil","coconut-oil-amp-shea-oil","0"
"95","Essential Oils (Lemongrass, Eucalyptus, Tea Tree)","essential-oils-lemongrass-eucalyptus-tea-tree","0"
"96","Cosmetics: Lip Balms, Body Butters &amp; Hair Oils","cosmetics-lip-balms-body-butters-amp-hair-oils","0"
"97","African Black Soap &amp; Skincare","african-black-soap-amp-skincare","0"
"98","Hair Care for Natural Hair","hair-care-for-natural-hair","0"
"99","Dried Fruit &amp; Vegetable Processing","dried-fruit-amp-vegetable-processing","0"
"100","Fruit Juice &amp; Concentrates","fruit-juice-amp-concentrates","0"
"101","Honey Processing &amp; Packaging","honey-processing-amp-packaging","0"
"102","Spice Blending &amp; Packaging","spice-blending-amp-packaging","0"
"103","Peanut Butter &amp; Nut Pastes","peanut-butter-amp-nut-pastes","0"
"104","Paint Manufacturing","paint-manufacturing","0"
"105","Brick &amp; Paver Making","brick-amp-paver-making","0"
"106","Fish Processing (Smoking &amp; Canning)","fish-processing-smoking-amp-canning","0"
"107","Bottled Water Production","bottled-water-production","0"
"108","Soft Drinks Production","soft-drinks-production","0"
"109","Distillery &amp; Spirits","distillery-amp-spirits","0"
"110","Breakfast Cereals","breakfast-cereals","0"
"111","Cooking Oil Production","cooking-oil-production","0"
"112","Sugar Processing","sugar-processing","0"
"113","Rice Milling","rice-milling","0"
"114","Flour Milling","flour-milling","0"
"115","Chocolate &amp; Candy","chocolate-amp-candy","0"
"116","Ice Cream Production","ice-cream-production","0"
"117","Yogurt Production","yogurt-production","0"
"118","Cement &amp; Blocks","cement-amp-blocks","0"
"119","Roofing Sheets","roofing-sheets","0"
"120","Tiles &amp; Ceramics","tiles-amp-ceramics","0"
"121","PVC &amp; Plumbing Pipes","pvc-amp-plumbing-pipes","0"
"122","Steel Fabrication","steel-fabrication","0"
"123","Aluminum Windows &amp; Doors","aluminum-windows-amp-doors","0"
"124","Glass Processing","glass-processing","0"
"125","Furniture Manufacturing","furniture-manufacturing","0"
"126","Solar Panel Assembly","solar-panel-assembly","0"
"127","Solar Inverters &amp; Batteries","solar-inverters-amp-batteries","0"
"128","Briquettes &amp; Pellets","briquettes-amp-pellets","0"
"129","Biogas Systems","biogas-systems","0"
"130","Auto Parts &amp; Assembly","auto-parts-amp-assembly","0"
"131","EV Motorbike Assembly","ev-motorbike-assembly","0"
"132","Electronics Assembly","electronics-assembly","0"
"133","Packaging Materials","packaging-materials","0"
"134","Detergents Manufacturing","detergents-manufacturing","0"
"135","Pharmaceuticals","pharmaceuticals","0"
"136","Sanitary Pads","sanitary-pads","0"
"137","Tissues &amp; Paper Products","tissues-amp-paper-products","0"
"138","Fertilizer Blending","fertilizer-blending","0"
"139","Pesticides &amp; Agrochemicals","pesticides-amp-agrochemicals","0"
"172","Farm Building Construction","farm-building-construction","0"
"173","Welding Fundamentals","welding-fundamentals","0"
"174","Processing a Pig Fully","processing-a-pig-fully","0"
"178","Buildings for Preservation (10 Methods)","buildings-for-preservation-10-methods","0"
"182","Pizza Oven Construction (Wood-Fired 12 Pizza)","pizza-oven-construction-wood-fired-12-pizza","0"
"183","Aluminium Welding Fundamentals","aluminium-welding-fundamentals","0"
"203","African Street Food Business","african-street-food-business","0"
"202","Daily Pig Sales: Batch Farrowing","daily-pig-sales-batch-farrowing","0"
"201","Gold Smelting and Refining","gold-smelting-and-refining","0"
"200","Artisan Gold Mining","artisan-gold-mining","0"
"199","Daily Bread Sales: Bakery Production","daily-bread-sales-bakery-production","0"
"198","Daily Milk Sales: Dairy Herd System","daily-milk-sales-dairy-herd-system","0"
"197","Daily Egg Sales: Layer Flock System","daily-egg-sales-layer-flock-system","0"
"196","Daily Broiler Sales: Batch Production","daily-broiler-sales-batch-production","0"
"195","Metal Furniture Making","metal-furniture-making","0"
"194","Riveting and Fastener Work","riveting-and-fastener-work","0"
"193","Advanced Welding Techniques","advanced-welding-techniques","0"
"192","Metal Sculpture","metal-sculpture","0"
"191","Gate and Fence Making","gate-and-fence-making","0"
"190","Tool Making for Agriculture","tool-making-for-agriculture","0"
"189","Metal Casting and Foundry Work","metal-casting-and-foundry-work","0"
"188","Ornamental Ironwork","ornamental-ironwork","0"
"187","Bladesmithing","bladesmithing","0"
"186","Sheet Metal Work","sheet-metal-work","0"
"185","Small Machines &amp; Pharmaceuticals Import","small-machines-amp-pharmaceuticals-import","0"
"184","Small Chinese Machines","small-chinese-machines","0"
"181","Cold Room for 4-10 Beasts","cold-room-for-4-10-beasts","0"
"180","Beehive Construction","beehive-construction","0"
"179","Fish Pond Construction","fish-pond-construction","0"
"177","Basic Blacksmithing","basic-blacksmithing","0"
"176","Smelting Fundamentals","smelting-fundamentals","0"
"175","Wind Turbine Basics","wind-turbine-basics","0"
