"Num","Title","Slug","Status"
"95","Essential Oils (Lemongrass, Eucalyptus, Tea Tree)","essential-oils-lemongrass-eucalyptus-tea-tree","NO-OUTLINE"
"96","Cosmetics: Lip Balms, Body Butters &amp; Hair Oils","cosmetics-lip-balms-body-butters-amp-hair-oils","NO-OUTLINE"
"97","African Black Soap &amp; Skincare","african-black-soap-amp-skincare","NO-OUTLINE"
"98","Hair Care for Natural Hair","hair-care-for-natural-hair","READY"
"99","Dried Fruit &amp; Vegetable Processing","dried-fruit-amp-vegetable-processing","NO-OUTLINE"
"100","Fruit Juice &amp; Concentrates","fruit-juice-amp-concentrates","NO-OUTLINE"
"101","Honey Processing &amp; Packaging","honey-processing-amp-packaging","NO-OUTLINE"
"102","Spice Blending &amp; Packaging","spice-blending-amp-packaging","NO-OUTLINE"
"103","Peanut Butter &amp; Nut Pastes","peanut-butter-amp-nut-pastes","NO-OUTLINE"
"104","Paint Manufacturing","paint-manufacturing","DONE"
"105","Brick &amp; Paver Making","brick-amp-paver-making","NO-OUTLINE"
"106","Fish Processing (Smoking &amp; Canning)","fish-processing-smoking-amp-canning","NO-OUTLINE"
"107","Bottled Water Production","bottled-water-production","DONE"
"108","Soft Drinks Production","soft-drinks-production","DONE"
"109","Distillery &amp; Spirits","distillery-amp-spirits","NO-OUTLINE"
"110","Breakfast Cereals","breakfast-cereals","DONE"
"111","Cooking Oil Production","cooking-oil-production","DONE"
"112","Sugar Processing","sugar-processing","DONE"
"113","Rice Milling","rice-milling","DONE"
"114","Flour Milling","flour-milling","DONE"
"115","Chocolate &amp; Candy","chocolate-amp-candy","NO-OUTLINE"
"116","Ice Cream Production","ice-cream-production","DONE"
"117","Yogurt Production","yogurt-production","DONE"
"118","Cement &amp; Blocks","cement-amp-blocks","NO-OUTLINE"
"119","Roofing Sheets","roofing-sheets","DONE"
"120","Tiles &amp; Ceramics","tiles-amp-ceramics","NO-OUTLINE"
"121","PVC &amp; Plumbing Pipes","pvc-amp-plumbing-pipes","NO-OUTLINE"
"122","Steel Fabrication","steel-fabrication","DONE"
"123","Aluminum Windows &amp; Doors","aluminum-windows-amp-doors","NO-OUTLINE"
"124","Glass Processing","glass-processing","DONE"
"125","Furniture Manufacturing","furniture-manufacturing","DONE"
"126","Solar Panel Assembly","solar-panel-assembly","DONE"
"127","Solar Inverters &amp; Batteries","solar-inverters-amp-batteries","NO-OUTLINE"
"128","Briquettes &amp; Pellets","briquettes-amp-pellets","NO-OUTLINE"
"129","Biogas Systems","biogas-systems","DONE"
"130","Auto Parts &amp; Assembly","auto-parts-amp-assembly","NO-OUTLINE"
"131","EV Motorbike Assembly","ev-motorbike-assembly","DONE"
"132","Electronics Assembly","electronics-assembly","DONE"
"133","Packaging Materials","packaging-materials","DONE"
"134","Detergents Manufacturing","detergents-manufacturing","DONE"
"135","Pharmaceuticals","pharmaceuticals","DONE"
"136","Sanitary Pads","sanitary-pads","DONE"
"137","Tissues &amp; Paper Products","tissues-amp-paper-products","NO-OUTLINE"
"138","Fertilizer Blending","fertilizer-blending","DONE"
"139","Pesticides &amp; Agrochemicals","pesticides-amp-agrochemicals","NO-OUTLINE"
"172","Farm Building Construction","farm-building-construction","READY"
"173","Welding Fundamentals","welding-fundamentals","READY"
"174","Processing a Pig Fully","processing-a-pig-fully","NO-OUTLINE"
"178","Buildings for Preservation (10 Methods)","buildings-for-preservation-10-methods","NO-OUTLINE"
"182","Pizza Oven Construction (Wood-Fired 12 Pizza)","pizza-oven-construction-wood-fired-12-pizza","DONE"
"183","Aluminium Welding Fundamentals","aluminium-welding-fundamentals","DONE"
"181","Cold Room for 4-10 Beasts","cold-room-for-4-10-beasts","NO-OUTLINE"
"180","Beehive Construction","beehive-construction","DONE"
"179","Fish Pond Construction","fish-pond-construction","DONE"
"177","Basic Blacksmithing","basic-blacksmithing","DONE"
"176","Smelting Fundamentals","smelting-fundamentals","DONE"
"175","Wind Turbine Basics","wind-turbine-basics","DONE"
